Randonnée,Description,Longueur et durée,Degré de difficulté,Lieu de départ,Recommandé aux familles,
Le Chemin-du-Nord,"Vous fera découvrir divers indices de l’occupation humaine tout en longeant le littoral.
Accessible aux personnes à mobilité réduite","4 km
1 h 15",Facile,Centre de découverte et de services - Ferme Rioux,X,
"Parcours
Le Contrebandier",Ce parcours évoque l’époque de la prohibition où des gens usaient de ce sentier pour récupérer de précieuses cargaisons.,"5,4 km
1 h 45",Facile,Centre de découverte et de services - Ferme Rioux,,
Parcours La Pinède,Vous fera découvrir une concentration de pins gris centenaires et deux belvédères offrant de magnifiques points de vue.,"5,8 km
2 h",Intermédiaire,Centre de découverte et de services - Ferme Rioux,,
Le Scoggan,"Traversez la forêt pour accéder au majestueux paysage qu’offre la Fourche à Louison, où le fleuve rencontre Les Murailles.","7 km
2 h 30",Intermédiaire,Centre de découverte et de services - Ferme Rioux,,
"Parcours Le Tour Cap-à-l'Orignal*
Accessible en été seulement
Informations importantes","Ce parcours accidenté vous permet de circuler sur les portions de littoral escarpées des falaises côtières et de vous imprégner de l’estuaire.
Il s'agit d'une aire de marche non aménagée accessible uniquement à marée basse. Le départ doit se faire du centre de découverte et de services - Ferme Rioux de 2 h jusqu'à 1 h avant l'heure de la marée la plus basse.","6 km
2 h",Très difficile,Centre de découverte et de services - Ferme Rioux,,
"Parcours Le Grand Tour*
Accessible en été seulement
Informations importantes","Ce parcours accidenté et diversifié vous amène tantôt sur les portions de littoral escarpées des falaises côtières, tantôt sur une plage, mais aussi en milieu forestier.
Il s'agit d'un passage d'un sentier aménagé à une aire de marche non aménagée accessible uniquement à marée basse. Le départ doit se faire du centre de découverte et de services - Ferme Rioux, 2 h avant l'heure prévue de la marée la plus basse.","8,7 km
3 h",Très difficile,Centre de découverte et de services - Ferme Rioux,,
"Le Pic-Champlain
Les chiens sont admis dans ce sentier du 1er mai au 31 octobre, selon certaines conditions.",Le sentier permet une montée graduelle offrant une vue magnifique sur le paysage appalachien et une portion de l’estuaire.,"6 km
2 h",Intermédiaire,Stationnement Pic-Champlain,,
Les Murailles,"Vous marcherez sous un couvert forestier varié, agrémenté de superbes fenêtres panoramiques.","7,8 km
2 h 30",Intermédiaire,Belvédère Raoul-Roy,,
La Citadelle,Sentier forestier comprenant un belvédère qui vous offre une vue splendide sur la baie des Cochons.,"10 km
3 h 15",Intermédiaire,Stationnement du centre de services Rivière-du-Sud-Ouest,,
Parcours Les Anses,"Ce tracé enchanteur entre mer, rochers et boisés comportant quelques sections abruptes et étroites, vous mènera au point d'observation des phoques à marée basse.","5,7 km
1 h 45",Intermédiaire,Stationnement du centre de services Rivière-du-Sud-Ouest,,
Parcours L'Île-aux-Amours,Parcourez la flèche de sable à marée basse pour profiter de cette île empreinte d’une atmosphère tranquille.,"3,3 km
1 h 15",Facile,Stationnement du centre de services Rivière-du-Sud-Ouest,,
Secteur BAIE-DE-LA-TOUR - Parc national d'Anticosti,Chute-Baie-de-la-Tour,"3 km
(aller-retour)
2 h",Intermédiaire,Stationnement (Chute-Baie-de-la-Tour),,
NORD DE L'ÎLE (McDONALD) - À l'extérieur du parc,La Sauvagesse,"14 km
(aller-retour)
7 h",Difficile,Auberge McDonald,,
NORD DE L'ÎLE (McDONALD) - À l'extérieur du parc,La Falaise-Puyjalon,"9 km
(aller-retour)
4 h",Intermédiaire,Anse de la Sauvagesse,,
SUD DE L'ÎLE (CHICOTTE-LA-MER) - À l'extérieur du parc,Le Petit-canyon-de-la-Chicotte,"1,5 km
(aller-retour)
45 min",Facile,Centre de services de Chicotte-la-Mer,,
SUD DE L'ÎLE (CHICOTTE-LA-MER) - À l'extérieur du parc,Les Échoueries,"12 km
(aller-retour)
4 h",Intermédiaire,Centre de services de Chicotte-la-Mer,,
Secteur CHICOTTE - Parc national d'Anticosti,Le Canyon-de-la-Chicotte,"7 km (boucle)
4 h",Intermédiaire,Stationnement du Canyon,,
