Sentier,Description,Longueur et durée1,Degré de difficulté,Lieu de départ,Auto-interprétation,Recommandé aux familles
"La Chute-Sainte-Anne
Les chiens sont admis dans ce sentier, selon certaines conditions.",Un belvédère vous donne une vue sur le versant nord du mont Albert et surplombe la chute de la rivière Sainte-Anne. Dénivelé faible.,"1,7 km (aller-retour)
30 min.",Facile,Centre de découverte et de services,X,X
"La Lucarne
Les chiens sont admis dans ce sentier, selon certaines conditions.","Après la chute Sainte-Anne, complétez une boucle en vous rendant au le belvédère de la lucarne qui offre un beau point de vue sur la vallée de la rivière Sainte-Anne. Dénivelé de 80 m.","2,5 km (boucle)
1 h",Facile,Centre de découverte et de services,,X
La Saillie,"Un belvédère vous donne une vue sur les monts McGerrigle, le Gîte du Mont-Albert, ainsi que la vallée de la rivière Sainte-Anne. Dénivelé de 190 m.","4,2 km (aller-retour)
1 h 45",Intermédiaire,Centre de découverte et de services,,
La Chute-du-Diable,"Le sentier longe la rivière Sainte-Anne et une magnifique cèdrière jusqu'au ruisseau du Diable. Par la suite, l'ascension permet d'attendre un belvédère pour y contempler la chute. Dénivelé de 120 m.","7 km (aller-retour)
3 h",Intermédiaire,Centre de découverte et de services,,
Le Mont-Albert (versant nord),"Une montée soutenue conduit au sommet du mont Albert et donne accès au plateau dénudé de 13 km2. Le panorama extraordinaire récompense bien les efforts. Dénivelé de 850 m. Pour la protection du caribou, ce sentier est ouvert du 10 juin au 9 octobre 2023.","12,6 km (aller-retour)
5 h 30",Expert,Centre de découverte et de services,X,
Le Tour-du-Mont-Albert,"Vous vous rendez d’abord au sommet. Puis, après avoir traversé le plateau, vous entreprenez une descente abrupte jusqu’au pied de la Grande Cuve. Vous poursuivez par un sentier rocailleux jusqu’à l’abri de la Serpentine et le centre de découverte et de services. Dénivelé de 870 mètres. Pour la protection du caribou, ce sentier est ouvert du 1er juillet au 9 octobre 2023.","17,8 km (boucle)
6 h à 8 h",Expert,Centre de découverte et de services,X,
L'Abri de la Serpentine (option no 1),"Après la chute du Diable, poursuivez la montée jusqu'au lac du Diable. Un peu plus loin, vous atteindrez l'abri, situé au pied des immenses cuves du mont Albert. Dénivelé de 360 m.","12,4 km (aller-retour)
4 h",Difficile,Centre de découverte et de services,X,
L'Abri de la Serpentine (option no 2),"Le parcours utilise un ancien chemin de prospection. Rapidement, la forêt devient  plus ouverte. L'abri est situé au pied des immenses cuves du mont Albert. Dénivelé de 260 m.","10 km (aller-retour)
3 h 30",Intermédiaire,Stationnement du Ruisseau-Isabelle,X,
Le Mont-Olivine (option no 1),"1 km après la chute du Diable, prenez le sentier sur la gauche. Il vous mènera sur une crête, complètement dénudée, offrant une vue magnifique sur le mont Albert et sur la vallée de la rivière Sainte-Anne. Dénivelé 445 m.","11,4 km (aller-retour)
4 h",Difficile,Centre de découverte et de services,,
Le Mont-Olivine (option no 2),"Le sentier débute sur un ancien chemin de prospection. Par la suite, le sentier devient plus étroit jusqu’au sommet dénudé. La vue sur le mont Albert et la vallée de la rivière Sainte-Anne vaut le détour. Dénivelé de 365 m.","8,8 km (aller-retour)
4 h",Difficile,Stationnement du Ruisseau-Isabelle,,
Le Lac-aux-Américains,"Cette courte randonnée se termine au cirque glaciaire du lac aux Américains, fabuleux peu importe l’heure de la journée. Dénivelé de 80 m.","2,6 km (aller-retour)
1 h 30",Facile,"Stationnement
Route 160",X,X
Le Mont-Ernest-Laforce,Le sommet offre une vue sur 360°. La vue sur le mont Albert et les montagnes environnantes est particulièrement saisissante. Dénivelé de 155 m.,"4,6 km (boucle)
2 h",Intermédiaire,"Stationnement 
Route 163",X,X
Le Mont-Jacques-Cartier,"Ce sentier vous invite à une incursion dans le Grand Nord. Le paysage présente de grandes étendues de toundra alpine. Des caribous y sont très souvent aperçus. Pour la protection du caribou, ce sentier est ouvert du 1er juillet au 9 octobre 2023, de 9 h 45 à 16 h. Navette obligatoire. Dénivelé de 465 mètres.","8,2 km (aller-retour)
4 h à 5 h",Difficile,Accueil Mont-Jacques-Cartier,X,
Le Mont-Xalibu,"À partir du lac aux Américains, le sentier traverse un milieu forestier avant d’atteindre la toundra sur un sentier rocailleux. Les points de vue y sont saisissants et le dépaysement assuré. Dénivelé de 540 mètres. Pour la protection du caribou, ce sentier est ouvert du 10 juin au 9 octobre 2023.","10,6 km (aller-retour)
5 h à 6 h",Difficile,"Stationnement
Route 160",,
Le Mont-Joseph-Fortin,Une montée soutenue mène à un plateau aux allures de taïga. Le détour jusqu’à la Falaise est un incontournable. Une boucle ceinture le plateau et présente plusieurs points d’observation. Dénivelé de 490 m.,"11 km (aller-retour)
5 h",Difficile,"Stationnement 
Route 160",,
Le Mont-Richardson,Un beau défi sportif et un secret bien gardé! Vue époustouflante sur 360° au sommet. Dénivelé de 705 m.,"11,6 km (aller-retour)
6 h",Expert,"Stationnement 
Route 160",,
La Rivière-Cascapédia,"Vous êtes à la source d’une des plus importantes rivières de la Gaspésie, la Cascapédia. C’est ici qu'on retrouve le premier affluent important de cette rivière, le ruisseau aux Saumons. Dénivelé faible.","1,4 km (aller-retour)
30 min.",Facile,"Stationnement
Route 11",X,X
Le Pic-du-Brûlé,"Le sentier, en milieu forestier, présente des points de vue, entre autres sur la muraille des Chic-Chocs et sur la vallée du Saint-Laurent. Au retour, prolongez le plaisir par le mont Ernest-Ménard.  Dénivelé de 430 m.","14,2 km (boucle)
5 h 15",Difficile,Accueil Lac-Cascapédia,,
